Shelfmark,Contents,Link to Digitised Manuscripts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 11314,"Charter of King John of England (r. 1199–1216) to Grandmont Abbey, 26 September 1199",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_11314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19516,"Grant of King Æthelstan of England (r. 924–939) to the minster of Sts Mary and Peter, Exeter",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19587,"Indulgence granted by Gilbert Foliot, Bishop of Hereford, to visitors to the relics of St James the Apostle at Reading Abbey",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19788,Grant of King Wulfhere of the Mercians (d. 675) to his kinsman Beorhtferth,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19789,"Grant of Eanberht (fl. 757–759), Uhtred (fl. 757–777) and Ealdred (fl. 757–777), brothers and under-kings of the Hwicce, to Headda, abbot",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19790,"Grant of King Offa of the Mercians (r. 757-796) to Æthelmund, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19791,"Grant of Bishop Werferth (d. 907×915), with the Worcester community, to Wulfsige, his reeve",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19792,"Grant of Bishop Oswald (d. 992) to his kinsman Osulf, the cniht",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19793,"Grant of King Edgar of England (r. 959–975) to Ælfwold, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add Ch 19794,"Grant of Archbishop Oswald (d. 992) to Cynelm, minister",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_Ch_19794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
