Shelfmark,Contents,Link to Digitised Manuscripts
Add MS 18850,Book of Hours (the 'Bedford Hours') ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_18850
Add MS 18852,"Book of Hours, Use of Rome (the 'Hours of Joanna I of Castile' or the 'Hours of Joanna the Mad')",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_18852
Add MS 20927,Book of Hours (The 'Stuart de Rothesay Hours'),http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_20927
Add MS 24098,"Book of Hours, Use of Rome (the 'Golf Book') ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_24098
Add MS 25698,11 Miniatures from a Flemish Book of Hours ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_25698
Add MS 27697,"Book of Hours, Use of Rome ('The Saluces Hours')",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_27697
Add MS 29433,Book of Hours,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_29433
Add MS 31919,"Menaion for February and the Royal Hours for Holy Friday, a palimpsest",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_31919
Add MS 34294,"Book of Hours, Use of Rome (the 'Sforza Hours')",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_34294
Add MS 35214,"Book of Hours, Use of Rome",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_35214
Add MS 35313,London Rothschild Hours' or  'Hours of Joanna I of Castile',http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_35313
Add MS 35318,"Book of Hours, Use of Rome  ",http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_35318
Add MS 36684,St Omer Hours,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_36684
Add MS 37421,Fragment from the Book of Hours (the 'Hours of Etienne Chevalier') ,http://www.bl.uk/manuscripts/FullDisplay.aspx?ref=Add_MS_37421
